Crop,N,P,K,Temperature,Rainfall,Yield_Tons_Acre
Turmeric,84.0,36.0,99.0,21.46558880947143,151.36143182422325,1.5406459875485865
Brinjal,112.0,52.0,55.0,26.772020561788818,52.43076135536593,1.8191457225683911
Black gram,110.0,72.0,73.0,27.895238793851984,264.15807545659715,2.0103530420853573
Papaya,96.0,40.0,66.0,23.84180244031968,261.9403980240753,1.5035330636738018
Tomato,64.0,39.0,55.0,20.438121946143497,263.43283008461543,8.91129110122773
Tomato,114.0,29.0,37.0,22.43145129247444,292.22798411864795,10.502059162917112
Jackfruit,118.0,76.0,33.0,34.55639311079116,298.2828671354066,2.016691479666099
Cocoa,46.0,39.0,51.0,28.5737566983492,79.03566939495883,1.7337472966779588
Cardamom,47.0,92.0,58.0,20.60702872889697,160.46082307928225,1.6867094897584851
Rice,119.0,32.0,92.0,22.623981490011168,177.3501873065228,3.667779442498001
Turmeric,52.0,34.0,20.0,28.85859527242189,156.68273621520547,1.726089501907514
Bitter gourd,43.0,42.0,57.0,29.34363269030039,68.31643796107812,1.5904479497868658
Sapota,78.0,78.0,91.0,31.511939218603267,165.8186950054295,1.5328212855818255
Ash gourd,74.0,69.0,76.0,29.10195505719345,278.47280092905567,1.8359407228715463
Snake gourd,58.0,35.0,82.0,32.648185441782985,93.89996840300287,1.7637644600238995
Banana,101.0,97.0,23.0,30.71199075919224,63.89043294708467,16.665065057321403
Rice,90.0,57.0,42.0,27.99435498188396,287.39772149918883,3.870665722915534
Bitter gourd,89.0,44.0,66.0,27.69382255357351,232.33528259952877,1.514732285814589
Tea,50.0,47.0,66.0,24.324967234768955,203.0152003845993,1.5511029452159026
Clove,100.0,55.0,60.0,26.116516231746445,288.26761528263694,1.5894897901071383
Sapota,55.0,46.0,40.0,33.63494834338419,77.60948589688402,1.7883248692164022
Clove,49.0,45.0,73.0,27.5011285601905,104.82226587536408,1.5083413285227163
Mango,119.0,24.0,57.0,34.711759138544465,50.95629851309287,1.7104449062242126
Maize,89.0,76.0,58.0,20.50317944625647,83.32269990403228,1.910950958803909
Tomato,45.0,33.0,85.0,27.165735917991487,205.3455248566714,10.095925078342814
Brinjal,117.0,22.0,89.0,31.979672639154423,189.237500878622,1.6192099373331934
Papaya,102.0,77.0,33.0,21.0849829791798,233.7159915042917,1.5092744829657747
Green gram,41.0,79.0,46.0,34.529897469021115,156.41420089233517,1.8767751861192192
Custard Apple,63.0,24.0,58.0,20.85000408444304,267.629991171862,1.5836462383325514
Custard Apple,60.0,41.0,44.0,25.809182059604478,210.6750572219544,1.9338720471957755
Snake gourd,112.0,99.0,30.0,31.99475032513049,247.3276139834143,1.5682793160066466
Ash gourd,69.0,73.0,69.0,21.35085878499647,238.3509750935409,1.7707603263145166
Nutmeg,98.0,34.0,94.0,26.594471550342604,289.01207179091625,1.6849540919079051
Bitter gourd,107.0,28.0,68.0,22.59753328574862,144.9168884934248,1.4597513976590002
Tapioca,48.0,75.0,89.0,22.605902449078386,216.00714752367256,11.557194587013017
Brinjal,45.0,26.0,76.0,23.228095985786467,90.39889013306993,1.938934579212012
Arecanut,57.0,77.0,29.0,30.01674071623116,280.53315121790104,1.4141173821013668
Ginger,55.0,99.0,76.0,33.34406535895321,289.47387564748533,1.794041061000827
Nutmeg,59.0,78.0,48.0,21.63882286796138,157.20089166398031,1.50700847490827
Rice,112.0,99.0,39.0,28.3122635080095,114.72774249413212,4.140123540022515
Tomato,93.0,31.0,77.0,27.50326166050222,119.93621403228994,9.497184429533348
Chilli,84.0,34.0,36.0,20.259122335285632,76.46749862777426,1.7958261440584695
Okra,100.0,51.0,80.0,20.18947673287868,117.62643766814702,1.802165342676176
Okra,98.0,81.0,32.0,33.61462023494468,222.6272802185471,1.7268173381452174
Banana,103.0,91.0,32.0,34.58871048643239,86.32246458418653,14.370660380300084
Okra,69.0,47.0,92.0,30.272427413178143,69.1732395269702,1.7028974768256273
Guava,93.0,84.0,73.0,33.590713048646954,116.48879527817338,1.5205504491153972
Coffee,50.0,37.0,70.0,20.9982877963661,51.71728914177191,1.7962822551707474
Banana,107.0,39.0,81.0,27.307519798941296,144.3884004993913,17.69626510414784
Jackfruit,117.0,92.0,91.0,30.542692230586447,294.1351888531791,1.7567191632777777
Snake gourd,69.0,40.0,73.0,31.31498040772159,253.67965159401265,1.9792286074395504
Papaya,95.0,73.0,77.0,26.639391580043156,56.93184339809682,1.6022681736547555
Banana,65.0,63.0,37.0,27.286963612784596,203.36015014707772,13.77126729902719
Maize,44.0,78.0,29.0,30.500509970832383,274.9445388985711,1.5946558863898963
Brinjal,91.0,75.0,53.0,27.212400197444587,228.4304619988441,1.8372871713083267
Tomato,95.0,23.0,60.0,25.758427856595038,297.41477141194906,8.648830357952738
Tea,42.0,71.0,71.0,25.900369984460625,244.619519718662,1.8185165468162856
Brinjal,58.0,98.0,58.0,25.0032315534721,100.5749135867686,1.8504715294005911
Cinnamon,40.0,96.0,95.0,20.781576828229685,214.3043370181568,1.908475259543948
Coconut,91.0,90.0,29.0,20.87820115134545,157.27748764053376,1.6132326886005044
Turmeric,40.0,46.0,71.0,32.56708210901522,220.54393288051045,1.445289645746204
Papaya,69.0,80.0,61.0,20.32496038846608,299.2817300152065,1.9134321589692744
Maize,66.0,39.0,43.0,30.799630442936557,52.51693087276856,1.443010533102172
Cucumber,75.0,69.0,43.0,24.248540720803486,63.90357944282994,11.790869041450565
Tomato,66.0,77.0,62.0,28.925329530517622,296.09448808966204,11.072374579802773
Tomato,101.0,26.0,38.0,23.2047408541908,54.54975752356931,10.718147160780733
Coffee,45.0,62.0,68.0,24.58623666779998,235.2504965334952,1.622568233833529
Cowpea,53.0,67.0,87.0,25.77429125031512,202.610350992929,1.8110227672358048
Maize,42.0,88.0,83.0,30.527576983706297,259.0876812107441,1.602636736016703
Turmeric,42.0,78.0,62.0,27.37807929200956,153.69458656516338,1.5657040509790212
Clove,120.0,51.0,93.0,22.74004840431965,126.04503548691096,1.94265421825656
Nutmeg,79.0,41.0,55.0,30.73785799268534,65.43622996204397,1.5446098391697696
Jackfruit,91.0,66.0,57.0,31.166187486423603,69.80984693544269,2.0134684490916244
Vanilla,46.0,26.0,42.0,30.62650644831312,87.9462380465427,1.7227596326110433
Black gram,94.0,83.0,96.0,29.27984015906462,154.98520988120217,1.5536500165268796
Sapota,75.0,32.0,79.0,31.815595687533275,297.58516374467973,1.4250297480634453
Cowpea,106.0,25.0,88.0,29.15516131052971,286.6690587052289,1.6353433222253464
Cucumber,88.0,33.0,58.0,26.11052806820148,88.00702403664533,12.025358119457165
Arecanut,49.0,94.0,48.0,32.27307684868484,145.36517698001273,1.6695980943616535
Turmeric,101.0,55.0,31.0,22.556286220276867,93.42194965876766,1.6919783385101714
Vanilla,102.0,21.0,52.0,24.005360078995192,281.7219683420987,1.856799295862174
Chilli,89.0,92.0,57.0,29.891315072432437,106.86718019719136,1.799667579644114
Rice,44.0,89.0,26.0,27.612590072597413,151.95637706769028,4.499892562057689
Tomato,69.0,60.0,61.0,29.515496061923194,75.24920419173674,8.926154391374848
Black Pepper,115.0,47.0,30.0,28.933803224923413,231.7379969781593,0.7779358485118693
Coffee,59.0,62.0,94.0,32.23582562077667,107.2917069302294,1.616020435457364
Banana,76.0,35.0,41.0,32.9477445882618,153.62404101183867,16.333133322916638
Black Pepper,94.0,91.0,61.0,25.88040982325547,245.54147079309976,0.8294638279091872
Black Pepper,118.0,20.0,39.0,27.725372450207544,132.80686064688433,0.6377494712898502
Coffee,49.0,35.0,36.0,20.43217987826467,139.6895342203439,1.4128233181610463
Clove,51.0,62.0,67.0,33.088542274462185,113.5723336048724,1.4707685792313792
Bitter gourd,51.0,54.0,28.0,33.39705870134328,127.89874061457108,1.54770711292205
Tomato,108.0,80.0,72.0,24.353504709651887,157.94714001376565,12.024962420192212
Rubber,119.0,23.0,52.0,33.923885631266536,223.3584875619333,0.8839920973316708
Rubber,82.0,33.0,84.0,34.379320223147246,257.82206075869465,1.073786443089159
Clove,75.0,32.0,45.0,27.29388521745075,253.76630083901077,1.6875829452307003
Cocoa,56.0,41.0,46.0,21.165319044471826,115.53312122558482,1.662938770261503
Sapota,93.0,74.0,84.0,20.49740405848899,202.0830342874401,1.671547578936495
Chilli,83.0,92.0,96.0,26.708450763960755,255.43427357214568,2.031770195055961
Cinnamon,84.0,82.0,24.0,32.34899134078293,136.58772597185157,1.4737075078060595
Maize,76.0,44.0,38.0,29.32584166245688,58.13231563305902,1.9169740435739508
Chilli,51.0,31.0,74.0,20.65083887946553,258.618785432348,1.9368197665706213
Pineapple,118.0,51.0,92.0,30.859894528224483,232.00186413405496,23.33543861653512
Vanilla,51.0,44.0,68.0,21.39590665596596,248.23634457266135,1.3680615157307523
Coconut,66.0,83.0,53.0,29.41419429720984,262.6874692212442,1.8136088233068064
Arecanut,59.0,21.0,99.0,26.291095196666,203.7206748971346,1.6865488438245015
Clove,44.0,26.0,83.0,27.001536471102614,221.0639806984166,1.621348247970379
Tea,86.0,66.0,62.0,25.786019728137443,298.6650584084279,1.5270498017752896
Maize,103.0,73.0,59.0,33.40726365244478,261.86683885608034,1.8573681134730895
Coffee,76.0,63.0,78.0,27.653437978993384,143.5171984497245,1.9147701456808708
Coconut,114.0,63.0,35.0,29.035049199287112,187.6942953530979,1.9176555734378609
Green gram,116.0,99.0,27.0,25.37394762517138,54.422997781936274,1.5711207454566247
Banana,89.0,71.0,37.0,30.91623906356132,135.02265761271147,12.780125161591732
Sapota,52.0,66.0,51.0,20.378101115210036,167.03303048848795,1.3890821067636971
Sapota,40.0,40.0,55.0,26.154292987739595,281.202865914272,1.5863474181198332
Cinnamon,110.0,91.0,77.0,30.9771399950943,156.22712772226092,1.6542251515229265
Cardamom,105.0,26.0,99.0,29.91642612380472,66.59747028290603,1.7119085433591708
Mango,112.0,98.0,75.0,27.43217399393448,93.99168171691832,1.9469354277375972
Tomato,83.0,64.0,34.0,25.11900773393304,207.87736223640255,8.324570898134848
Jackfruit,73.0,45.0,56.0,31.894622397430773,73.19156646558257,1.858234977728395
Coffee,46.0,26.0,49.0,29.791552159193586,287.6827287352415,1.8110118820027148
Black Pepper,82.0,88.0,49.0,29.78730472392654,290.9710342677769,0.7485427155430144
Cowpea,115.0,55.0,51.0,29.3872415446974,121.09355086587932,1.6459255644927366
Vanilla,66.0,71.0,91.0,34.367657863031006,102.15546034994898,1.802118093517648
Pineapple,104.0,71.0,46.0,25.63737827556927,195.58517123061156,21.699706474044145
Sapota,72.0,30.0,28.0,32.11129904134731,84.23057190340434,1.5811332777247689
Cocoa,91.0,65.0,26.0,26.47218576997806,260.50107720653824,1.5088923388686983
Sapota,43.0,64.0,57.0,20.914743440359445,231.0641724691837,1.7059828493553435
Turmeric,52.0,55.0,85.0,22.112395210398407,263.73173756789646,1.7268142065544978
Snake gourd,58.0,63.0,72.0,31.437247579734294,296.7010316307724,1.5408832494473998
Custard Apple,44.0,27.0,94.0,32.11073848985909,86.97326945438844,1.774114623763236
Tapioca,49.0,31.0,80.0,27.1054422614972,141.91179341070858,13.137229566288438
Vanilla,102.0,50.0,34.0,30.615474784767308,248.39466044867007,1.9535183735344763
Coffee,53.0,63.0,36.0,21.53295998640524,223.6810743667812,1.8669863730978749
Papaya,95.0,96.0,50.0,26.297419854307467,194.445779896554,1.738173984525072
Ash gourd,64.0,98.0,99.0,25.56293752386669,75.04076479488576,1.5172255562403243
Custard Apple,120.0,92.0,88.0,26.425960671515835,185.30142702232385,2.063052390976268
Vanilla,64.0,62.0,96.0,24.424045395151783,85.17667059830038,1.4277369575118384
Ash gourd,85.0,68.0,77.0,24.52580708779726,112.3100017486172,1.9990467881635952
Brinjal,44.0,97.0,70.0,23.803616575400994,88.90657636653827,1.6312920723568494
Guava,105.0,66.0,28.0,26.520267951699083,288.3790373771293,1.4646906835184748
Coffee,119.0,30.0,58.0,23.972002878674814,234.48751455514773,1.7316455084828428
Tea,79.0,62.0,55.0,20.85061411315682,84.50173973449338,1.8247257832519557
Cocoa,83.0,52.0,75.0,23.7679046597077,88.8050700797874,1.6318751351601568
Banana,57.0,83.0,29.0,33.51116016027051,95.82004430679244,15.9491451240229
Ash gourd,78.0,55.0,30.0,30.06202426987231,123.39883907528828,1.6738322414079962
Papaya,117.0,82.0,85.0,32.547760924974206,295.91675052634497,1.8665475372557965
Maize,81.0,44.0,86.0,21.73123993996976,91.37829833482186,1.7543034587177742
Arecanut,120.0,75.0,75.0,32.1105517883456,264.51746350064,1.8878707570372175
Rubber,114.0,91.0,94.0,33.62347851229444,233.68409280284808,1.1124406607965007
Bitter gourd,45.0,28.0,80.0,22.172727332579907,287.71868528348455,1.7694341483420646
Chilli,73.0,79.0,56.0,23.884834624318025,60.42484131099359,1.4442524389523508
Rice,71.0,31.0,40.0,21.90567443110308,228.16894469064684,4.0099491913216445
Pineapple,68.0,39.0,76.0,22.478814232766865,208.57392048123077,22.40998597228069
Ginger,44.0,48.0,84.0,28.6700777968106,102.2000236522781,1.6648003576893229
Tapioca,119.0,94.0,61.0,22.749508177127797,274.6715504444626,10.600013106649351
Green gram,65.0,80.0,80.0,29.68421447604569,243.90236619977304,1.5195969237707956
Cinnamon,96.0,28.0,68.0,24.318188937202123,113.881686406777,1.8478793008803736
Arecanut,76.0,65.0,56.0,30.89102193783958,151.1470949917209,1.6308716031907464
Green gram,83.0,49.0,84.0,34.25240736789152,273.32447088325,1.6258808104162998
Okra,83.0,93.0,95.0,21.472746513873357,275.4389465695931,1.852643100959405
Cardamom,68.0,54.0,80.0,26.888326110398346,283.23222296694115,1.5661033489031602
Ginger,111.0,62.0,47.0,30.56357159551236,239.720943147428,1.90935934799127
Arecanut,48.0,48.0,26.0,32.07543781395018,255.0636656725108,1.4089336429380244
Tea,63.0,33.0,74.0,21.517997521099677,279.59448007162206,1.8266555922507928
Bitter gourd,93.0,37.0,65.0,34.18442574420772,239.93616437660984,1.7397947298985252
Guava,52.0,23.0,38.0,31.90280750071881,215.56340381709475,1.623388323527533
Custard Apple,67.0,32.0,38.0,26.556028089581226,283.00193027947137,1.4217723811254563
Okra,52.0,20.0,27.0,33.54329099259221,120.85816525220488,1.810998844556719
Chilli,110.0,88.0,81.0,21.132878910717903,52.39026799101227,1.632460396183509
Maize,44.0,55.0,51.0,33.08703064117598,252.18499667221087,1.877494955300123
Cardamom,109.0,68.0,72.0,26.15868620545607,179.76513608326366,1.8424090289947457
Green gram,66.0,99.0,51.0,34.27458852340677,144.5056009211692,1.5036017013611835
Custard Apple,70.0,98.0,46.0,25.774607279450382,243.43406228237603,1.757805866015685
Tapioca,112.0,59.0,75.0,33.901018875803274,223.84582745267056,14.17555243217066
Mango,41.0,66.0,58.0,27.845149512313263,181.0109763633413,1.395850864056593
Guava,59.0,67.0,79.0,29.017894613100488,152.1865442110783,1.8017160432493864
Cardamom,101.0,81.0,41.0,26.229192570524084,82.15872564250708,1.5348460694402983
Banana,45.0,97.0,98.0,29.76311501914201,154.47270822964498,14.952660714278895
Banana,83.0,24.0,82.0,20.169128820601284,83.82288808525566,12.41251245637988
Cucumber,76.0,25.0,80.0,25.480169423313285,276.91197044939804,10.228144626404678
Banana,58.0,81.0,36.0,30.18921319161223,178.15016940390916,15.731333271429133
Sapota,48.0,83.0,85.0,33.165394775684184,176.2656347280642,1.71906992153436
Ash gourd,66.0,54.0,26.0,34.97471988401257,108.21406755612348,1.583561781303918
Ash gourd,91.0,76.0,78.0,33.62509172545971,218.95154526173144,1.9699945527946063
Jackfruit,96.0,92.0,71.0,34.0572192306299,255.57638284113355,1.792272819952638
Black Pepper,65.0,72.0,76.0,33.2134231689403,227.30780493075852,0.7280071515517481
Rice,91.0,67.0,24.0,21.323164796788383,98.29141309736995,3.920461714781892
Tomato,58.0,42.0,45.0,29.5976811963549,117.95076834747968,11.730550892703466
Snake gourd,44.0,89.0,48.0,24.591173050782785,158.679008021478,1.6066313792203537
Turmeric,69.0,70.0,59.0,24.634068169434435,117.79539499207448,1.9103756757691983
Brinjal,96.0,57.0,63.0,28.55117254693589,191.5504613436584,1.4888497020955604
Chilli,69.0,68.0,85.0,31.362339934970308,51.31355513212009,1.7700692840619077
Tomato,107.0,27.0,95.0,31.40620528083689,91.54866006171812,9.984414086532942
Clove,76.0,57.0,87.0,31.482829809302714,66.25990769977275,1.9188552943856083
Ginger,56.0,62.0,49.0,29.010963994864227,66.58040401789845,1.4764878156367869
Ginger,81.0,37.0,61.0,20.422744516401988,56.886103673191066,1.89939488043989
Cardamom,109.0,93.0,79.0,33.83784613017825,291.90294692920884,1.766359885703587
Cinnamon,46.0,42.0,80.0,34.44621218573576,168.49137592335205,1.940268726820892
Custard Apple,57.0,34.0,63.0,33.12348532524015,175.22685485540083,1.4796388394358326
Nutmeg,66.0,25.0,45.0,30.596686959313995,205.99669912009105,1.6425449200167055
Ginger,107.0,74.0,79.0,34.667179354060764,105.9612306947256,1.837518739035356
Rubber,77.0,84.0,99.0,27.963269634617,108.67308050640668,1.025495374530403
Cucumber,54.0,76.0,60.0,20.096253465863647,284.1482673861875,8.348953478564361
Maize,99.0,28.0,88.0,32.04889031250602,179.2668767510636,1.8197115832654556
Clove,119.0,64.0,29.0,32.692828063677595,108.10712107319613,1.7632504299958265
Tapioca,60.0,92.0,72.0,26.720670088847797,100.11427174998236,9.89893678736933
Rice,90.0,90.0,69.0,31.09913068313013,184.64703219883316,4.052989258962706
Clove,49.0,27.0,78.0,28.22754066698373,239.36373684346253,1.4570766239082968
Snake gourd,116.0,52.0,99.0,21.836133838204653,156.1398039113873,1.9778802476562365
Green gram,105.0,98.0,90.0,27.63269057093199,105.0540124842823,1.852688055806246
Cinnamon,58.0,81.0,24.0,24.40678923855409,75.1907879201724,1.9361929375571372
Arecanut,106.0,66.0,73.0,32.70159074602876,109.38738628641846,1.9866474083347916
Chilli,70.0,34.0,71.0,27.481447850869525,195.2153139689624,1.3958812753914311
Bitter gourd,57.0,59.0,82.0,33.02012250487474,234.75442130494707,1.7487613539530975
Rice,55.0,98.0,65.0,34.60266002487325,98.90033798739869,4.199520608633653
Green gram,86.0,38.0,96.0,20.518486272709133,52.008112516299846,1.6304251427086085
Papaya,42.0,66.0,81.0,29.698845095779305,268.18991943095267,1.90110059323992
Jackfruit,114.0,36.0,39.0,26.233835768936483,249.37152737042803,1.3903094318213147
Guava,46.0,83.0,84.0,32.83721928522726,108.51960857688512,1.7111873500329744
Cinnamon,73.0,38.0,97.0,24.131491904631275,232.5636483779745,1.468595764874695
Ginger,102.0,98.0,88.0,29.95404105563906,80.70421674208478,1.9048357513811525
Jackfruit,64.0,35.0,73.0,34.68909688618166,256.4974423482554,1.4029026488930718
Pineapple,87.0,71.0,50.0,33.398770690985046,69.9559200276151,16.907038344139284
Rubber,61.0,32.0,64.0,23.14771532937076,62.46992869921462,0.959837581172216
Coconut,76.0,27.0,40.0,26.884832774451752,153.19368927200003,1.6230472701732188
Brinjal,109.0,32.0,41.0,32.39866804602629,284.279672639056,1.735629482909545
Custard Apple,56.0,48.0,55.0,34.06070519682804,114.1436039237944,1.755917997953066
Guava,50.0,81.0,83.0,27.75328659748299,281.4412954976725,1.5206153889871563
Arecanut,75.0,40.0,80.0,26.227293651150237,212.86006650289588,1.5981581704526229
Rubber,101.0,74.0,39.0,21.013382116972483,113.6228805074926,0.8926209521500127
Guava,80.0,27.0,37.0,20.962500007875647,96.81423694345966,1.8881261262721785
Clove,55.0,35.0,53.0,33.13376960187374,295.27473197629206,1.7915595822023442
Clove,76.0,61.0,63.0,34.24982095174935,96.56355084206317,1.41488755501616
Rice,48.0,36.0,54.0,23.803314420507316,81.10788832478833,3.492919409599836
Cowpea,92.0,62.0,51.0,31.743992320976545,50.61069917792597,1.4963199777206548
Okra,100.0,97.0,86.0,32.33012783167872,250.9887135560236,1.5928246781165076
Sapota,61.0,51.0,68.0,34.621828135964606,159.8650616398727,1.3947186067590776
Cucumber,112.0,67.0,46.0,33.00450123453351,296.48973745587136,9.641310241616772
Coffee,103.0,27.0,35.0,22.88225205355853,226.9805724114124,1.6653561550387526
Tea,60.0,35.0,67.0,25.6121699797092,239.99738791117267,1.5720664481356257
Banana,73.0,91.0,93.0,29.28359537382161,265.2534145888952,17.507731874326208
Okra,100.0,35.0,46.0,20.19696676278563,75.5312834014178,1.4360269210683732
Cucumber,106.0,23.0,59.0,31.551682570159294,238.5460127692944,8.463113555896104
Pineapple,48.0,36.0,69.0,21.838997831559706,197.5631141484984,21.74086950342477
Coconut,94.0,35.0,26.0,30.609191408833865,84.20996056031717,1.697913313705515
Clove,100.0,54.0,73.0,32.901940759767626,198.5471212671159,1.690354455729944
Rubber,64.0,56.0,93.0,31.737316384283748,76.19622728929235,1.108666115839139
Guava,78.0,89.0,50.0,25.49656749106287,160.42416712640795,1.7627217486032438
Chilli,83.0,76.0,58.0,34.79804238913883,171.90178983542637,1.7116209167354357
Cocoa,80.0,62.0,72.0,24.376908301003244,193.81268376590532,1.6397835459085557
Custard Apple,59.0,39.0,53.0,31.68881513835491,196.81004246024847,1.490630701125398
Chilli,52.0,61.0,88.0,28.929568299611528,155.1156036592097,1.7528599776172809
Jackfruit,120.0,40.0,69.0,23.033074950969866,99.0713586137166,1.7884559735792245
Vanilla,60.0,22.0,56.0,27.68609614689045,112.91117150330874,1.4048562492982586
Ginger,58.0,28.0,77.0,31.507138931083432,184.9185539601565,1.3934358217155134
Tomato,118.0,76.0,50.0,31.12885067675669,223.5886291140699,8.975056102654928
Ash gourd,52.0,63.0,40.0,25.124089482098555,287.1445315807857,1.947826006706021
Nutmeg,100.0,49.0,98.0,20.90587733573391,75.78687808507138,1.6796258982820644
Bitter gourd,62.0,86.0,33.0,34.17650076070363,243.52936330398,1.687041328771528
Chilli,72.0,24.0,78.0,23.626999235853724,264.5042778721446,1.5113206887376132
Rubber,110.0,65.0,100.0,26.719928313093583,103.0455229359681,1.041235913321212
Tomato,95.0,79.0,63.0,30.2718709651323,253.9661232282719,10.132010055922546
Tea,82.0,56.0,39.0,33.34225296962168,83.30323462442033,1.7738681423137437
Brinjal,45.0,99.0,67.0,25.61397952686481,163.81303309890265,1.8019225753336952
Papaya,44.0,26.0,61.0,30.422342632077477,153.75325340424416,1.660315631732969
Tomato,116.0,26.0,90.0,28.64386194558497,118.34872666876048,9.485899065051212
Custard Apple,109.0,42.0,24.0,21.53508214720649,167.23604703148376,1.622846320801201
Tea,60.0,93.0,54.0,33.86084310546984,294.96600265108805,1.8447281475530863
Coffee,87.0,48.0,100.0,20.031293217139243,203.9089122930285,1.524829565745201
Brinjal,47.0,76.0,44.0,33.4291005193116,150.03038342785717,1.3979947668281028
Cinnamon,59.0,83.0,36.0,23.87781418383882,272.3835853459918,1.6505495216156598
Coconut,112.0,94.0,74.0,27.058697073903613,141.16699362829166,1.7521054646288534
Vanilla,58.0,49.0,95.0,22.327264125746066,272.8989067610771,1.4818518364205973
Ginger,86.0,62.0,100.0,26.661708535141443,134.7115012488847,1.7144123344768254
Okra,55.0,34.0,40.0,32.57282400719991,259.14798231376915,1.350755892947901
Ginger,93.0,61.0,60.0,25.18907866660082,110.95642046749212,1.8637658148292815
Rice,42.0,81.0,55.0,22.98814542149958,271.4834887451973,3.704337856421556
Snake gourd,60.0,77.0,21.0,27.131140454126516,276.0071846869864,1.7215971235530776
Guava,69.0,65.0,99.0,29.801546426107343,94.02677023041008,1.533333916522417
Cucumber,78.0,52.0,90.0,33.528100027213334,82.37458923255312,10.973139589738766
Chilli,115.0,21.0,32.0,31.158445083143427,65.62710113206178,1.605917953139473
Brinjal,107.0,29.0,35.0,28.182556528356784,180.53971866125852,1.723731106324695
Custard Apple,109.0,47.0,94.0,30.27842540712234,260.8397352129832,1.8869182602027967
Rice,64.0,55.0,100.0,24.99799787342006,243.09703726167368,4.53133405697452
Coffee,57.0,91.0,56.0,20.831147373726083,104.5346751025184,1.7083561634251407
Cardamom,87.0,90.0,87.0,26.958783058420376,51.62909599330535,1.9852372613548608
Tea,112.0,45.0,34.0,28.204951433672186,165.34042883509127,1.4688962548068665
Jackfruit,81.0,33.0,92.0,33.747662119040434,62.96538229172734,1.654579558568671
Banana,64.0,51.0,59.0,24.10031058183284,218.76288571186024,17.97813677658269
Custard Apple,110.0,98.0,89.0,23.51748972122285,291.7263857956484,1.6230236998457688
Tomato,102.0,46.0,49.0,24.897040062998823,181.08908954820916,9.502192525167796
Cucumber,60.0,98.0,100.0,32.46890684316021,196.4596557134756,10.381750108548822
Black gram,112.0,84.0,28.0,24.24696906888489,179.36714763986382,1.431234607592827
Black gram,48.0,64.0,63.0,26.15802651138811,118.5453031274822,1.5556066563726152
Pineapple,99.0,45.0,26.0,20.55796735902259,109.91579292617524,18.514291476202573
Black Pepper,75.0,87.0,81.0,20.89844449911958,258.67734801123095,0.7490865624442468
Black Pepper,74.0,89.0,98.0,21.63132685465172,85.22583026538511,0.7193046673291585
Tapioca,96.0,74.0,47.0,22.934096899132665,214.65707766883745,12.162278314546237
Custard Apple,105.0,22.0,52.0,31.69695889000604,246.0822381838021,1.4470824767518249
Coconut,65.0,78.0,75.0,32.91428208473256,279.09731281987445,1.7732733277162909
Cocoa,103.0,96.0,92.0,27.01915681600704,246.4785965750638,1.764124165443639
Bitter gourd,67.0,32.0,22.0,27.562584659330447,232.9221717515874,1.6137918750503888
Coffee,69.0,74.0,41.0,32.3072959332208,95.51607911763767,1.574555136058415
Brinjal,106.0,56.0,29.0,34.99066496981551,52.31367768572516,1.48018197957442
Banana,49.0,34.0,48.0,32.37026200044151,176.71220397233134,14.69039498318277
Coffee,111.0,71.0,75.0,32.97764692793315,270.16152454961923,1.4656998549807612
Cowpea,50.0,94.0,61.0,34.76142901774128,173.98126751086346,1.8660396962735792
Tea,92.0,91.0,63.0,31.129681189462232,288.9227518085752,1.828126947891219
Ginger,66.0,69.0,92.0,34.48115388027228,294.40949160801046,1.4714213761056454
Black Pepper,84.0,45.0,59.0,20.140143561771925,105.49900102224645,0.6873793082858348
Maize,112.0,43.0,47.0,20.623987170367062,184.93068342284008,1.8633463120916345
Ash gourd,119.0,94.0,49.0,24.054250495965093,151.53433560889857,1.5049147535661822
Sapota,115.0,23.0,80.0,34.462774507787515,92.12360901420875,1.6908339828411114
Cowpea,81.0,51.0,48.0,29.22267996245177,82.95808530774669,1.816444203140582
Tea,96.0,90.0,23.0,29.7999902867787,275.26426833546566,1.6975191176761395
Green gram,63.0,37.0,77.0,23.521045574741272,263.8515689576128,1.7977576684414038
Banana,92.0,45.0,87.0,34.26554405191999,77.91191811662083,18.22063174753555
Arecanut,88.0,91.0,28.0,22.89276138954913,296.034165003271,1.9075411827094084
Black gram,107.0,33.0,83.0,27.60352143213979,57.29324999859893,1.6383513527812623
Cowpea,81.0,21.0,44.0,24.710476747190064,284.92480002960497,1.6671137378734917
Turmeric,79.0,42.0,29.0,31.26139392515387,283.7464610199577,1.8747543954853845
Black gram,100.0,99.0,70.0,21.374832985171345,290.4511668939766,1.6470545250614783
Cardamom,82.0,78.0,94.0,28.53489519890133,201.13637139763017,1.6357222277250294
Tea,83.0,41.0,40.0,27.2790400360732,289.502829726599,1.4145847593108154
Coconut,99.0,59.0,75.0,25.265014731249774,284.3739588566534,1.6765048969216143
Custard Apple,41.0,42.0,20.0,20.382634485907783,184.3331872466518,1.5460743103804435
Ginger,60.0,44.0,40.0,20.756767202532085,83.98417464178222,1.3572967277248933
Maize,60.0,38.0,55.0,26.973825011481683,256.2318287968722,1.5099656841003255
Tomato,77.0,84.0,60.0,20.728645994382365,68.82895864763992,9.834898768501535
Banana,77.0,63.0,22.0,28.4092521610176,109.26142472920527,16.495262043598984
Rubber,107.0,60.0,90.0,30.195679607631877,271.7996408095783,1.000373475420059
